Gene,Category,Protein,logFC,AveExpr,t,P.Value,adj.P.Val,B,count,sca.t,sca.P.Value,sca.adj.pval,significance,log.sca.pval
yehZ,Other,242384E_coliDH5_03068,0.8329560435,28.16905499,5.421363177,0.00008755896567,0.0004031906862,0.8720759167,4,5.660347225,0.00004201129615,0.0002014970067,Not Significant,4.376633919
glnA,Other,242384E_coliDH5_02792,0.9176426651,31.05053274,5.195277496,0.0001322493884,0.0005724190227,0.4463617773,15,5.635765521,0.00004399771582,0.0002105865776,Not Significant,4.35656987
dsbA,Other,242384E_coliDH5_02782,1.385512885,29.01046244,5.362309867,0.00009745266202,0.0004408299829,0.7614813018,6,5.624476492,0.00004494239183,0.0002146627287,Significant,4.347343818
speB,Other,242384E_coliDH5_02582,0.6273812666,28.71177807,5.269236282,0.0001154735959,0.0005092027271,0.5863052475,5,5.607402862,0.00004641130208,0.0002212208138,Not Significant,4.333376247
hypE,Other,242384E_coliDH5_01846,1.277269375,25.02568183,6.527360417,0.00001288089818,0.00007779118352,2.859207796,1,5.594053721,0.00004759442986,0.0002263924736,Significant,4.322443871
rseB,Other,242384E_coliDH5_01496,-0.6508696543,27.84942112,-5.196875126,0.0001318614344,0.0005718126488,0.4493916416,6,-5.588091564,0.00004813291916,0.0002283234113,Not Significant,4.317557798
degQ,Other,242384E_coliDH5_03874,-0.7547537929,28.95759432,-5.095025724,0.0001591272504,0.0006723563492,0.2556414314,12,-5.587372271,0.00004819831006,0.0002283234113,Not Significant,4.316968189
fnr,Nitrate reduction,242384E_coliDH5_04295,1.463627476,25.28110853,6.142170605,0.00002463211972,0.0001366016832,2.185743261,1,5.564203697,0.0000503546039,0.0002380493262,Significant,4.297960816
serS,Other,242384E_coliDH5_00235,-0.6427604387,31.04704312,-4.885573095,0.0002351917124,0.0009419918066,-0.1464742647,21,-5.559183523,0.000050834877,0.0002398283461,Not Significant,4.293838223
hemA,Other,242384E_coliDH5_03752,1.785065607,22.62396849,5.834180906,0.00004198004854,0.0002137924326,1.632807033,1,5.557488247,0.0000509981326,0.0002401075345,Significant,4.292445726
cca,Other,242384E_coliDH5_01896,-0.9587790544,26.7274071,-5.513815174,0.0000741178956,0.0003482484423,1.044344824,2,-5.549026303,0.00005182118822,0.0002434857051,Not Significant,4.285492633
dppB,Other,242384E_coliDH5_03148,3.897123151,24.2201652,5.409297751,0.00008949180251,0.0004085271202,0.8495150173,1,5.535651803,0.00005315026484,0.0002492228882,Significant,4.274494567
unknown,Other,242384E_coliDH5_00178,1.766746836,21.7130555,5.79025032,0.00004534547045,0.0002276386241,1.552906463,1,5.513158239,0.00005546580879,0.0002593566569,Significant,4.25597465
unknown,Other,242384E_coliDH5_00536,0.9850075348,29.05602512,5.247963851,0.0001200590438,0.0005255715634,0.5461207498,5,5.511656931,0.00005562403265,0.0002593566569,Not Significant,4.254737529
panE,Other,242384E_coliDH5_02706,-1.216026186,25.14637749,-5.403470864,0.00009044110422,0.0004115337819,0.8386129559,2,-5.511423297,0.00005564869752,0.0002593566569,Significant,4.254544996
yhaK,Other,242384E_coliDH5_01947,-1.643636664,21.54143128,-5.871674271,0.00003931434802,0.0002015515575,1.700797473,1,-5.506535988,0.00005616726076,0.0002612457068,Significant,4.250516756
unknown,Other,242384E_coliDH5_00698,-0.9572081158,25.94589496,-5.451083067,0.00008298108794,0.0003859624393,0.9275710846,2,-5.489395532,0.00005802586157,0.0002693474097,Not Significant,4.236378402
yibF,Other,242384E_coliDH5_03200,-1.15017351,28.19485975,-5.255009868,0.0001185196104,0.0005208090307,0.559436975,4,-5.478878637,0.00005919769165,0.0002737067443,Significant,4.227695228
ubiG,Other,242384E_coliDH5_00979,1.742942363,27.70972776,5.313947405,0.0001064194593,0.0004748736803,0.6705886647,2,5.478837862,0.00005920228235,0.0002737067443,Significant,4.22766155
hycE,Other,242384E_coliDH5_01855,-4.317853097,24.92882096,-5.333299092,0.0001027326577,0.0004602024104,0.7069926409,1,-5.477243749,0.00005938204737,0.0002739887666,Significant,4.226344833
yecM,Other,242384E_coliDH5_02284,1.293529491,25.83827715,6.284576699,0.00001933628549,0.0001101452114,2.437078821,1,5.471485235,0.00006003614932,0.0002764538852,Significant,4.221587171
unknown,Other,242384E_coliDH5_03653,-0.6730550752,26.98648811,-5.220081952,0.0001263575209,0.0005489770257,0.4933688099,4,-5.456618754,0.00006175955598,0.0002838232981,Not Significant,4.209295835
folP,Other,242384E_coliDH5_02013,1.215704624,26.20832083,5.342529589,0.0001010211488,0.0004551870902,0.7243407472,2,5.451671504,0.00006234436993,0.0002859412752,Significant,4.20520276
hdeA,Other,242384E_coliDH5_03113,3.040611143,29.48128663,5.380148671,0.00009434690018,0.000428461218,0.7949351662,1,5.448368054,0.00006273806225,0.0002871760111,Significant,4.202468899
ycfP,Other,242384E_coliDH5_03232,0.9828412917,29.06995753,5.13079355,0.0001489401802,0.0006327900475,0.3238201987,7,5.437139185,0.00006409563811,0.0002928091824,Not Significant,4.193171524
def,Other,242384E_coliDH5_01520,-0.7830742594,28.45619737,-5.129077271,0.0001494131897,0.0006336327733,0.3205520775,5,-5.411083511,0.00006736428628,0.0003071332183,Not Significant,4.171570287
djlA,Other,242384E_coliDH5_01179,-1.115023738,26.11154915,-6.653933705,0.00001045589177,0.00006626852286,3.076092797,1,-5.395041855,0.00006946210405,0.0003159802666,Significant,4.158252066
