Gene,Category,Protein,logFC,AveExpr,t,P.Value,adj.P.Val,B,count,sca.t,sca.P.Value,sca.adj.pval,significance,log.sca.pval
hxpA,Other,242384E_coliDH5_01043,-0.2542084991,26.67763364,-1.726931563,0.1059905422,0.1852425612,-6.151260455,2,-1.715815986,0.1063697864,0.186096478,Not Significant,0.9731817127
yccU,Other,242384E_coliDH5_00307,-0.311062211,28.49904776,-1.634063898,0.1243456547,0.2084777801,-6.29009056,5,-1.71575213,0.106381731,0.186096478,Not Significant,0.9731329472
hemN_1,Other,242384E_coliDH5_02566,-0.4078256368,25.12379883,-1.966031619,0.06928183632,0.1296295186,-5.771871595,1,-1.715662691,0.1063984631,0.186096478,Not Significant,0.9730646451
kefF,Other,242384E_coliDH5_01170,-0.5530850749,22.49519046,-1.799034003,0.09342509906,0.166820204,-6.040047999,1,-1.715044207,0.1065142308,0.1861578261,Not Significant,0.9725923645
yhcO,Other,242384E_coliDH5_03879,-1.177991266,23.72970162,-1.675861815,0.1157676909,0.1970405265,-6.228238503,1,-1.713540632,0.1067961273,0.1865092094,Not Significant,0.9714444957
ybjN,Other,242384E_coliDH5_00195,1.02741507,22.02390008,1.684628914,0.1140352553,0.1946066714,-6.215132378,1,1.712531964,0.1069856009,0.1866987756,Not Significant,0.9706746695
birA,Other,242384E_coliDH5_04093,0.9723240001,24.62228622,1.684565135,0.1140477762,0.1946066714,-6.215227885,1,1.707829318,0.1078728412,0.1881047956,Not Significant,0.9670878826
yiiM,Other,242384E_coliDH5_02835,-0.2116654631,27.8420625,-1.593404618,0.133211771,0.2199853655,-6.349233145,6,-1.707051525,0.108020202,0.1882194909,Not Significant,0.966495015
intA_3,Other,242384E_coliDH5_03461,0.59643418,21.62981628,1.764930439,0.09919388711,0.1753481361,-6.093011626,1,1.706473946,0.1081297433,0.1882627591,Not Significant,0.9660548278
ftsI,Other,242384E_coliDH5_01208,0.8408638959,24.25244032,1.698422969,0.111355256,0.191570899,-6.194419583,1,1.70606035,0.1082082439,0.1882627591,Not Significant,0.9657396512
unknown,Other,242384E_coliDH5_02795,-0.5374298837,21.50823203,-1.797051777,0.09375206494,0.1671452966,-6.043143901,1,-1.705347207,0.1083437148,0.1883564054,Not Significant,0.9651962778
spoT,Other,242384E_coliDH5_02949,-0.2590036849,27.58994114,-1.707725086,0.1095792227,0.1890794815,-6.180388887,2,-1.701146519,0.1091446897,0.1896060235,Not Significant,0.9619973894
rcnA,Other,242384E_coliDH5_03095,0.6333553916,22.04672423,1.741615372,0.1033169771,0.1811187434,-6.128848353,1,1.699969034,0.1093701313,0.1898546974,Not Significant,0.9611012666
rna,Other,242384E_coliDH5_03534,0.2555254289,27.32390974,1.651359139,0.1207316277,0.203296603,-6.264625075,3,1.698223126,0.1097051482,0.1902930654,Not Significant,0.9597729914
rluF,Other,242384E_coliDH5_04218,-0.1790746835,25.84746827,-1.795105921,0.09407402031,0.1675897798,-6.046180918,2,-1.696538435,0.1100292637,0.1907118792,Not Significant,0.9584917934
iolU,Other,242384E_coliDH5_01928,0.4079031024,26.67389598,1.928176539,0.07419742033,0.1379318684,-5.83389309,1,1.692349362,0.1108388024,0.1919708087,Not Significant,0.9553081753
unknown,Other,242384E_coliDH5_00639,-1.078981915,26.03995635,-1.621524462,0.1270240596,0.2128137294,-6.308439375,3,-1.687138646,0.1118529869,0.1935820261,Not Significant,0.9513524141
cyaY,Other,242384E_coliDH5_03349,0.8038125593,23.58302579,1.681972405,0.1145577955,0.1953324717,-6.219108455,1,1.685271689,0.112218315,0.1940687051,Not Significant,0.9499362569
